Found path: /home/babo/src/abl/deep-reinforcement-learning/p3_collab-compet/Tennis_Linux/Tennis.x86_64
Mono path[0] = '/home/babo/src/abl/deep-reinforcement-learning/p3_collab-compet/Tennis_Linux/Tennis_Data/Managed'
Mono config path = '/home/babo/src/abl/deep-reinforcement-learning/p3_collab-compet/Tennis_Linux/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/babo/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Scored: 2.10 2.09
Scored: 0.10 0.09
Scored: 2.60 2.60
Scored: 1.59 1.70
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 1.30 1.29
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 2.00 1.89
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 1.89 1.90
Scored: 1.70 1.69
Scored: 1.60 1.49
Scored: 2.60 2.60
Scored: 0.10 -0.01
Scored: 2.60 2.60
Scored: 1.30 1.19
Scored: 2.60 2.60
Scored: 0.50 0.39
Scored: 2.39 2.50
Scored: 2.00 1.89
Scored: 0.10 0.09
Scored: 2.50 2.39
Scored: 2.60 2.60
Scored: 0.70 0.69
Scored: 2.00 1.99
Scored: 0.10 -0.01
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 1.70 1.59
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 2.60 2.60
Scored: 2.70 2.60
Scored: 2.60 2.70
Scored: 0.60 0.49
Scored: 1.90 1.89
Scored: 2.60 2.60
Scored: 2.20 2.09
Scored: 2.60 2.60
Scored: 1.00 0.89
Scored: 2.60 2.60
Scored: 2.70 2.60
Scored: 0.30 0.29
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 2.60 2.60
Scored: 2.70 2.60
Scored: 0.49 0.60
Scored: 2.60 2.60
Scored: 1.20 1.19
Scored: 0.10 0.09
Scored: 0.09 0.10
Scored: 2.60 2.60
Scored: 0.10 -0.01
Scored: 2.60 2.60
Scored: 2.70 2.60
Scored: 0.10 0.09
Scored: 2.60 2.60
Scored: 1.00 0.99
Scored: 2.00 1.99
Scored: 2.60 2.60
Scored: 0.50 0.49
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 2.50 2.39
Scored: 0.10 0.09
Scored: 1.60 1.59
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 0.60 0.49
Scored: 2.20 2.19
Scored: 0.10 0.09
Scored: 2.60 2.50
Scored: 2.60 2.60
Scored: 2.00 1.99
Scored: 2.60 2.60
Scored: 2.70 2.60
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 2.70 2.60
Scored: 2.60 2.60
Scored: 2.60 2.70
Scored: 0.70 0.59
Scored: 2.60 2.60
Scored: 0.90 0.69
Scored: 2.29 2.40
Scored: 0.99 0.90
Scored: 0.10 -0.01
Scored: 2.60 2.60
Scored: 2.50 2.49
Scored: 0.69 0.80
Scored: 0.10 -0.01
Scored: 1.60 1.49
Scored: 1.80 1.69
Scored: 2.40 2.29
Scored: 2.60 2.60
Scored: 2.40 2.39
Mean score 1.90 over 100
